
Accuracy using all 28 features: 0.89667

================================================================================
Iteration - 1
================================================================================

Number of agents: 100

------------- Best Agent ---------------
Fitness: 0.8885714285714286
Number of Features: 6
----------------------------------------

Particle 43 - Fitness: 0.8707142857142858, Number of Features: 11
Particle 44 - Fitness: 0.8707142857142858, Number of Features: 11
Particle 45 - Fitness: 0.8707142857142858, Number of Features: 11
Particle 46 - Fitness: 0.8707142857142858, Number of Features: 11
Particle 47 - Fitness: 0.8707142857142858, Number of Features: 11
Particle 48 - Fitness: 0.8707142857142858, Number of Features: 11
Particle 49 - Fitness: 0.8707142857142858, Number of Features: 11
Particle 50 - Fitness: 0.8707142857142858, Number of Features: 11
Particle 51 - Fitness: 0.8707142857142858, Number of Features: 11
Particle 52 - Fitness: 0.8707142857142858, Number of Features: 11
Particle 53 - Fitness: 0.8707142857142858, Number of Features: 11
Particle 54 - Fitness: 0.8707142857142858, Number of Features: 11
Particle 55 - Fitness: 0.8707142857142858, Number of Features: 11
Particle 56 - Fitness: 0.8707142857142858, Number of Features: 11
Particle 57 - Fitness: 0.8707142857142858, Number of Features: 11
Particle 58 - Fitness: 0.8707142857142858, Number of Features: 11
Particle 59 - Fitness: 0.8707142857142858, Number of Features: 11
Particle 60 - Fitness: 0.8671428571428572, Number of Features: 12
Particle 61 - Fitness: 0.8671428571428572, Number of Features: 12
Particle 62 - Fitness: 0.8671428571428572, Number of Features: 12
Particle 63 - Fitness: 0.8671428571428572, Number of Features: 12
Particle 64 - Fitness: 0.8671428571428572, Number of Features: 12
Particle 65 - Fitness: 0.8671428571428572, Number of Features: 12
Particle 66 - Fitness: 0.8671428571428572, Number of Features: 12
Particle 67 - Fitness: 0.8671428571428572, Number of Features: 12
Particle 68 - Fitness: 0.8671428571428572, Number of Features: 12
Particle 69 - Fitness: 0.8671428571428572, Number of Features: 12
Particle 70 - Fitness: 0.8671428571428572, Number of Features: 12
Particle 71 - Fitness: 0.8671428571428572, Number of Features: 12
Particle 72 - Fitness: 0.8671428571428572, Number of Features: 12
Particle 73 - Fitness: 0.8671428571428572, Number of Features: 12
Particle 74 - Fitness: 0.8671428571428572, Number of Features: 12
Particle 75 - Fitness: 0.8635714285714287, Number of Features: 13
Particle 76 - Fitness: 0.8635714285714287, Number of Features: 13
Particle 77 - Fitness: 0.8635714285714287, Number of Features: 13
Particle 78 - Fitness: 0.8635714285714287, Number of Features: 13
Particle 79 - Fitness: 0.8635714285714287, Number of Features: 13
Particle 80 - Fitness: 0.8635714285714287, Number of Features: 13
Particle 81 - Fitness: 0.8635714285714287, Number of Features: 13
Particle 82 - Fitness: 0.8600000000000001, Number of Features: 14
Particle 83 - Fitness: 0.8600000000000001, Number of Features: 14
Particle 84 - Fitness: 0.8600000000000001, Number of Features: 14
Particle 85 - Fitness: 0.8564285714285714, Number of Features: 15
Particle 86 - Fitness: 0.8564285714285714, Number of Features: 15
Particle 87 - Fitness: 0.8564285714285714, Number of Features: 15
Particle 88 - Fitness: 0.8564285714285714, Number of Features: 15
Particle 89 - Fitness: 0.855, Number of Features: 7
Particle 90 - Fitness: 0.855, Number of Features: 7
Particle 91 - Fitness: 0.8528571428571429, Number of Features: 16
Particle 92 - Fitness: 0.8528571428571429, Number of Features: 16
Particle 93 - Fitness: 0.8528571428571429, Number of Features: 16
Particle 94 - Fitness: 0.8457142857142858, Number of Features: 18
Particle 95 - Fitness: 0.8442857142857143, Number of Features: 10
Particle 96 - Fitness: 0.8407142857142857, Number of Features: 11
Particle 97 - Fitness: 0.8407142857142857, Number of Features: 11
Particle 98 - Fitness: 0.8371428571428572, Number of Features: 12
Particle 99 - Fitness: 0.8300000000000001, Number of Features: 14
Particle 100 - Fitness: 0.8214285714285714, Number of Features: 8
================================================================================


================================================================================
Iteration - 4
================================================================================

Number of agents: 100

------------- Best Agent ---------------
Fitness: 0.8957142857142857
Number of Features: 4
----------------------------------------

Particle 1 - Fitness: 0.8957142857142857, Number of Features: 4
Particle 2 - Fitness: 0.8921428571428571, Number of Features: 5
